feature,importance_mean,importance_std
vehicle_age,2213.224745344128,79.70672761481741
mileage_num,1057.0641513188532,128.36580406357749
condition,502.5226994537954,100.55648085540669
make,372.4524410429602,26.06348421690889
body_type,252.14224163808322,51.13565963737135
model,207.40257685517608,30.392233385394874
color,116.62608764534198,15.400183016629772
drive_type,97.24505630859531,33.7741691737119
fuel_type,46.86590392057642,22.53323580443019
title_status,-0.15455390798306326,0.11455315623698979
transmission,-19.002855888334672,3.506814776575224
